A.S. Advertisement Pass,Location_Type,VENUE,AWARDED,Attendance_Ratio,DATE,Event_Type,Day_of_Week
-,Price Center,Price Center West Ballroom A,600.0,1.1667,2024-11-21,Social,Thursday
-,Mandeville Auditorium,Student Center: Dolores Huerta / Philip Vera Cruz Meeting Room,109.14,1.9241,2024-11-21,GBM,Thursday
-,Price Center,Price Center - Marshall Room,172.4,1.2181,2024-11-21,GBM,Thursday
-,Price Center,Price Center Bear Room,395.72,1.2635,2024-11-21,Social,Thursday
-,Price Center,Warren College room- Price Center,397.64,0.8299,2024-11-21,Workshop,Thursday
-,Price Center,PC Ballroom East,1192.92,0.7209,2024-11-21,GBM,Thursday
-,Price Center,The Forum (Price Center),282.25,0.8149,2024-11-21,Social,Thursday
-,Warren,CSE 1202,517.09,1.4891,2024-11-21,GBM,Thursday
-,Warren,Qualcomm Conference Center,550.0,0.7455,2024-11-21,GBM,Thursday
-,Pepper Canyon,SME 348,277.13,0.5052000000000001,2024-11-21,Social,Thursday
-,Price Center,Price Center - Warren College Room,272.36,0.18359999999999999,2024-11-22,Social,Friday
-,Warren,CSE Building Room 4140,244.27,0.9006000000000001,2024-11-22,GBM,Friday
