NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Form Attendance,Attendance Miss,Event_Type,Location_Type
Cover Letter Workshop,2/17/2025,Mesa Nueva - CA-A192B Large Conference Room,$143.85 ,Not Found,2,86.10%,Workshop,Off Campus
GBM #4 - Students For Global Health,2/18/2025,Price Center (ERC Room),$200.00 ,Not Found,16,20.00%,GBM,Price Center
Tech Dev Workshop 2/18,2/18/2025,B225,$215.39 ,Yes,39,-81.07%,Workshop,Warren
PPASO GBM,2/18/2025,Multipurpose Room,$120.00 ,Yes,,100.00%,GBM,Mandeville Auditorium
Dine with a Professional feat. HRI and SEARCH,2/18/2025,NSB Atrium/Auditorium,$279.98 ,No,,100.00%,Speaker,Revelle
Meet the Dean,2/18/2025,Price Center Warren Room,$251.85 ,Not Found,9,64.26%,Speaker,Price Center
GBM #4-Students For Global Health,2/18/2025,ERC Room - Price Center,$200.00 ,,,100.00%,GBM,Price Center
CSES Dev Social,2/18/2025,Governance Chambers,$289.99 ,,,100.00%,Social,Price Center
"Inside a YC Startup: Tech, Growth, and Lessons from Stempad",2/18/2025,Henry Booker Room,$232.63 ,,10,57.01%,Speaker,Warren
IEEE Networking Event Collab w/HKN and TreasureHacks,2/18/2025,Qualcomm Conference Room,$366.35 ,,,100.00%,Social,Warren
Translational Medicine Day 2025,2/19/2025,Price Center West Ballroom AB,"$2,000.00 ",,,,Social,Price Center
Chemistry Career Day,2/19/2025,NSB atrium,$397.64 ,,,,Social,Revelle
Winter W7 Project Committee,2/19/2025,EnVision,$300.00 ,,,,Recruitment,Pepper Canyon
Sensory Board Making Event,2/19/2025,Red Shoe Room,$32.61 ,,,,Workshop,Price Center
GBM #5,2/19/2025,Otterson Hall 1S114,$393.29 ,,,,GBM,North Campus
UNICEF Club GBM #4,2/20/2025,Price Center - Marshall College Room,$103.09 ,,,,GBM,Price Center
Guest Speaker Event -- Music and Memory @ UCSD,2/20/2025,Price Center - Warren College Room,$208.30 ,,,,Speaker,Price Center
