NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Estimated Attendance,Form Attendance,PEEF Attendance,Attendance Miss,PEEF Miss,Status,Notes,Event_Type,Location_Type
GBM #3: Breast Cancer Awareness,11/25/2024,ASML Room,$650.00 ,-,65,74,0,-13.85%,100.00%,Good Standing,,GBM,Pepper Canyon
Air Dry Clay Stationery Items Workshop,11/25/2024,Marshall College Room,$400.00 ,-,40,,0,100.00%,100.00%,Good Standing,,Workshop,Price Center
Jezebel Agnes Yangari,11/26/2024,ASML Room,$401.58 ,-,60,3,0,92.53%,100.00%,Good Standing,,Speaker,Pepper Canyon
Project Teams Meetup 4,11/26/2024,ASML Room,$400.00 ,-,40,7,0,82.50%,100.00%,Good Standing,,GBM,Pepper Canyon
Shake Your SASE Tails,11/26/2024,SME 248 ASML Conference Center,$510.74 ,-,55,48,48,6.02%,6.02%,Good Standing,,Social,Pepper Canyon
TCP Pitch Showcase,11/26/2024,CSE 1202,$404.67 ,-,100,63,63,-55.68%,-55.68%,Good Standing,,Recruitment,Warren
GBM,11/26/2024,Warren College Room,$388.98 ,-,40,26,25,33.16%,35.73%,Good Standing,,GBM,Price Center
DS3 Finals Cram,11/27/2024,Price Center - Red Shoe Room,$301.67 ,-,50,21,0,30.39%,100.00%,Good Standing,,Social,Price Center
Muse Dance Company Fall Showcase Dress Rehearsal,12/2/2024,Price Center Ballroom East,$340.00 ,-,35,40,60,-17.65%,-76.47%,Good Standing,,Social,Price Center
Tech Dev Workshop 6,12/2/2024,Qualcomm Room,$280.00 ,-,28,12,0,57.14%,100.00%,Good Standing,,Workshop,Warren
Lock-In Study Social,12/2/2024,LGBT Resource Center,$97.99 ,-,25,13,0,-32.67%,100.00%,Good Standing,,Social,Mandeville Auditorium
End of Quarter Celebration GBM - Week 10,12/2/2024,ASANTE 123AD,$226.29 ,-,25,23,0,-1.64%,100.00%,Good Standing,,GBM,North Campus
Thanksgiving,12/2/2024,Price Center - Red Shoe Room,$128.83 ,-,40,,0,100.00%,100.00%,Good Standing,,Social,Price Center
Board Game and Boba Game Night,12/2/2024,Ballroom West B,$641.03 ,-,100,106,0,-65.36%,100.00%,Good Standing,,Social,Price Center
Fiza Omer,12/3/2024,Student Center Huerta-Vera Cruz,$441.90 ,-,0,,0,0.00%,100.00%,Good Standing,,Speaker,Mandeville Auditorium
