DATE,Location_Type,Event_Type,AWARDED,A.S. Advertisement Pass,Attendance_Ratio,Day_of_Week,log_Attendance_Ratio,log_AWARDED,Month
2024-11-19,Price Center,GBM,199.47,No,1.504,Tuesday,0.9178894532378521,5.300664609616385,2024-11
2024-11-19,Warren,GBM,216.58,No,1.8931,Tuesday,1.062328591590863,5.382566598992937,2024-11
2024-11-19,Price Center,Social,41.42,No,4.3457,Tuesday,1.6762924994193416,3.7476199491365363,2024-11
2024-11-19,Price Center,Recruitment,504.4,No,2.8549,Tuesday,1.3493450663416122,6.2253501949540935,2024-11
2024-11-19,North Campus,Social,426.51,No,0.5627,Tuesday,0.44641509443711846,6.057977679916096,2024-11
2024-11-20,Wong-Avery,Social,557.0,No,0.3231999999999999,Wednesday,0.2800530452872897,6.324358962381311,2024-11
2024-11-20,Pepper Canyon,GBM,300.0,No,1.4,Wednesday,0.8754687373538999,5.707110264748875,2024-11
2024-11-20,Price Center,Social,89.48,No,1.4528,Wednesday,0.8972302291354126,4.505128831807865,2024-11
2024-11-20,Price Center,GBM,773.91,No,1.7056,Wednesday,0.9953236991621788,6.652746893577591,2024-11
2024-11-20,Warren,Speaker,280.0,No,0.9643,Wednesday,0.6751359477580936,5.638354669333745,2024-11
2024-11-20,Online,GBM,180.0,No,0.7222,Wednesday,0.5436025432799277,5.198497031265826,2024-11
2024-11-20,Price Center,Social,180.75,No,1.6598000000000002,Wednesday,0.9782509319969259,5.202632116413628,2024-11
2024-11-21,Warren,Social,275.0,No,0.8364,Thursday,0.6078071333929299,5.62040086571715,2024-11
2024-11-21,Revelle,GBM,163.18,No,0.1226,Thursday,0.11564742352596188,5.10096338692012,2024-11
2024-11-21,Price Center,Social,600.0,No,1.1667,Thursday,0.7732052727305244,6.398594934535208,2024-11
2024-11-21,Mandeville Auditorium,GBM,109.14,No,1.9241,Thursday,1.072986741029137,4.7017522838343355,2024-11
2024-11-21,Price Center,GBM,172.4,No,1.2181,Thursday,0.7966509735746066,5.155601064346442,2024-11
2024-11-21,Price Center,Social,395.72,No,1.2635,Thursday,0.8169122878938763,5.983230742180878,2024-11
2024-11-21,Price Center,Workshop,397.64,No,0.8299,Thursday,0.6042613205515044,5.988058753973149,2024-11
2024-11-21,Price Center,GBM,1192.92,No,0.7209,Thursday,0.5428474097887283,7.084997290032793,2024-11
2024-11-21,Price Center,Social,282.25,No,0.8149,Thursday,0.5960303697802178,5.646329899908116,2024-11
2024-11-21,Warren,GBM,517.09,No,1.4891,Thursday,0.9119211993562123,6.250148972341283,2024-11
2024-11-21,Warren,GBM,550.0,No,0.7455,Thursday,0.5570410475629537,6.311734809152915,2024-11
2024-11-21,Pepper Canyon,Social,277.13,No,0.5052000000000001,Thursday,0.4089257797371452,5.628088630287,2024-11
2024-11-22,Price Center,Social,272.36,No,0.1835999999999999,Friday,0.16856064154391745,5.610789607807036,2024-11
2024-11-22,Warren,GBM,244.27,No,0.9006000000000001,Friday,0.6421696257950779,5.502359644559846,2024-11
2024-11-22,Library Walk,Social,2501.55,No,0.6195999999999999,Friday,0.482179205175869,7.825065491009758,2024-11
2024-11-22,Price Center,Social,253.85,No,1.1818,Friday,0.7801502241815192,5.54067513678605,2024-11
2024-11-22,SunGod,Social,1076.62,No,0.2508,Friday,0.2237833466015492,6.982510184686359,2024-11
2024-11-22,Warren,Workshop,201.91,No,0.0494999999999999,Friday,0.04831386027855053,5.3127625309795325,2024-11
2024-11-22,Price Center,Social,484.88,No,1.1343,Friday,0.7581387240673854,6.1859616798320705,2024-11
2024-11-23,Theater District,Social,100.0,No,2.4,Saturday,1.2237754316221157,4.61512051684126,2024-11
2024-11-24,Price Center,Social,482.5,No,1.6995,Sunday,0.9930665706762046,6.181051314893349,2024-11
2024-11-25,Pepper Canyon,GBM,650.0,No,1.1385,Monday,0.7601046486848263,6.478509642208569,2024-11
2024-11-26,Pepper Canyon,Speaker,401.58,No,0.0746999999999999,Tuesday,0.07204155286497047,5.997893834872886,2024-11
2024-11-26,Pepper Canyon,GBM,400.0,No,0.175,Tuesday,0.16126814759612226,5.993961427306569,2024-11
